c host: c3n23
c start: Fri Oct 18 19:59:36 CEST 2019
c arrayjobid: 17567256
c jobid: 17567455
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019A/picorv32_mutBX_nomem-p7.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567455.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@   304s  (total 11 workers using 3989 MB)
@   316s  (total 11 workers using 3969 MB)
@   326s  (total 11 workers using 3945 MB)
@   338s  (total 11 workers using 3957 MB)
@   349s  (total 11 workers using 3950 MB)
@   360s  (total 11 workers using 3969 MB)
@   371s  (total 11 workers using 4021 MB)
@   382s  (total 11 workers using 4012 MB)
@   393s  (total 11 workers using 4119 MB)
@   404s  (total 11 workers using 4156 MB)
@   415s  (total 11 workers using 4176 MB)
@   426s  (total 11 workers using 4246 MB)
@   437s  (total 11 workers using 4242 MB)
@   448s  (total 11 workers using 4238 MB)
@   459s  (total 11 workers using 4299 MB)
@   470s  (total 11 workers using 4324 MB)
@   481s  (total 11 workers using 4348 MB)
@   492s  (total 11 workers using 4372 MB)
@   503s  (total 11 workers using 4408 MB)
@   514s  (total 11 workers using 4439 MB)
@   525s  (total 11 workers using 4473 MB)
@   536s  (total 11 workers using 4513 MB)
@   547s  (total 11 workers using 4534 MB)
@   558s  (total 11 workers using 4556 MB)
@   569s  (total 11 workers using 4573 MB)
@   580s  (total 11 workers using 4590 MB)
@   591s  (total 11 workers using 4608 MB)
@   602s  (total 11 workers using 4625 MB)
@   613s  (total 11 workers using 4651 MB)
@   625s  (total 11 workers using 4690 MB)
@   635s  (total 11 workers using 4732 MB)
@   647s  (total 11 workers using 4762 MB)
@   657s  (total 11 workers using 4793 MB)
@   669s  (total 11 workers using 4828 MB)
@   680s  (total 11 workers using 4856 MB)
@   691s  (total 11 workers using 4974 MB)
@   702s  (total 11 workers using 5076 MB)
@   713s  (total 11 workers using 5136 MB)
@   724s  (total 11 workers using 5161 MB)
@   735s  (total 11 workers using 5240 MB)
@   746s  (total 11 workers using 5305 MB)
@   757s  (total 11 workers using 5352 MB)
@   768s  (total 11 workers using 5379 MB)
@   779s  (total 11 workers using 5414 MB)
@   790s  (total 11 workers using 5462 MB)
@   801s  (total 11 workers using 5516 MB)
@   812s  (total 11 workers using 5539 MB)
@   823s  (total 11 workers using 5559 MB)
@   834s  (total 11 workers using 5580 MB)
@   845s  (total 11 workers using 5600 MB)
@   856s  (total 11 workers using 5649 MB)
@   867s  (total 11 workers using 5672 MB)
@   878s  (total 11 workers using 5703 MB)
@   890s  (total 11 workers using 5729 MB)
@   901s  (total 11 workers using 5760 MB)
@   912s  (total 11 workers using 5789 MB)
@   923s  (total 11 workers using 5815 MB)
@   934s  (total 11 workers using 5854 MB)
@   945s  (total 11 workers using 5897 MB)
@   956s  (total 11 workers using 6110 MB)
@   967s  (total 11 workers using 6101 MB)
@   978s  (total 11 workers using 6211 MB)
@   989s  (total 11 workers using 6075 MB)
@  1000s  (total 11 workers using 6124 MB)
@  1011s  (total 11 workers using 6129 MB)
@  1022s  (total 11 workers using 6190 MB)
@  1033s  (total 11 workers using 6230 MB)
@  1044s  (total 11 workers using 6259 MB)
@  1055s  (total 11 workers using 6251 MB)
@  1066s  (total 11 workers using 6283 MB)
@  1077s  (total 11 workers using 6324 MB)
@  1088s  (total 11 workers using 6433 MB)
@  1099s  (total 11 workers using 6409 MB)
@  1110s  (total 11 workers using 6442 MB)
@  1121s  (total 11 workers using 6523 MB)
@  1133s  (total 11 workers using 6547 MB)
@  1143s  (total 11 workers using 6576 MB)
@  1155s  (total 11 workers using 6554 MB)
@  1166s  (total 11 workers using 6587 MB)
@  1177s  (total 11 workers using 6618 MB)
@  1188s  (total 11 workers using 6601 MB)
@  1199s  (total 11 workers using 6676 MB)
@  1210s  (total 11 workers using 6686 MB)
@  1221s  (total 11 workers using 6721 MB)
@  1232s  (total 11 workers using 6743 MB)
@  1243s  (total 11 workers using 6772 MB)
@  1254s  (total 11 workers using 6798 MB)
@  1265s  (total 11 workers using 6844 MB)
@  1276s  (total 11 workers using 6877 MB)
@  1287s  (total 11 workers using 6899 MB)
@  1298s  (total 11 workers using 6937 MB)
@  1309s  (total 11 workers using 6918 MB)
@  1320s  (total 11 workers using 7000 MB)
@  1331s  (total 11 workers using 7059 MB)
@  1342s  (total 11 workers using 7074 MB)
@  1353s  (total 11 workers using 7173 MB)
@  1364s  (total 11 workers using 7079 MB)
@  1375s  (total 11 workers using 7110 MB)
@  1386s  (total 11 workers using 7118 MB)
@  1398s  (total 11 workers using 7176 MB)
@  1408s  (total 11 workers using 7300 MB)
@  1420s  (total 11 workers using 7298 MB)
@  1431s  (total 11 workers using 7304 MB)
@  1442s  (total 11 workers using 7358 MB)
@  1453s  (total 11 workers using 7449 MB)
@  1464s  (total 11 workers using 7449 MB)
@  1475s  (total 11 workers using 7442 MB)
@  1486s  (total 11 workers using 7464 MB)
@  1497s  (total 11 workers using 7468 MB)
@  1508s  (total 11 workers using 7550 MB)
@  1519s  (total 11 workers using 7584 MB)
@  1530s  (total 11 workers using 7585 MB)
@  1541s  (total 11 workers using 7618 MB)
@  1552s  (total 11 workers using 7668 MB)
@  1563s  (total 11 workers using 7693 MB)
@  1574s  (total 11 workers using 7719 MB)
@  1585s  (total 11 workers using 7754 MB)
@  1596s  (total 11 workers using 7778 MB)
@  1607s  (total 11 workers using 7797 MB)
@  1618s  (total 11 workers using 7812 MB)
@  1629s  (total 11 workers using 7768 MB)
@  1641s  (total 11 workers using 7783 MB)
@  1651s  (total 11 workers using 7840 MB)
@  1663s  (total 11 workers using 7873 MB)
@  1674s  (total 11 workers using 7900 MB)
@  1685s  (total 11 workers using 7887 MB)
@  1696s  (total 11 workers using 7908 MB)
@  1707s  (total 11 workers using 7940 MB)
@  1718s  (total 11 workers using 7958 MB)
@  1729s  (total 11 workers using 8027 MB)
@  1740s  (total 11 workers using 8050 MB)
@  1751s  (total 11 workers using 8078 MB)
@  1762s  (total 11 workers using 8059 MB)
@  1773s  (total 11 workers using 8068 MB)
@  1784s  (total 11 workers using 8104 MB)
@  1795s  (total 11 workers using 8185 MB)
@  1806s  (total 11 workers using 8203 MB)
@  1817s  (total 11 workers using 8219 MB)
@  1828s  (total 11 workers using 8223 MB)
@  1840s  (total 11 workers using 8250 MB)
@  1850s  (total 11 workers using 8329 MB)
@  1862s  (total 11 workers using 8347 MB)
@  1873s  (total 11 workers using 8442 MB)
@  1884s  (total 11 workers using 8404 MB)
@  1895s  (total 11 workers using 8470 MB)
@  1906s  (total 11 workers using 8521 MB)
@  1917s  (total 11 workers using 8563 MB)
@  1928s  (total 11 workers using 8597 MB)
@  1939s  (total 11 workers using 8634 MB)
@  1950s  (total 11 workers using 8670 MB)
@  1961s  (total 11 workers using 8728 MB)
@  1972s  (total 11 workers using 8768 MB)
@  1983s  (total 11 workers using 8806 MB)
@  1994s  (total 11 workers using 8863 MB)
@  2005s  (total 11 workers using 8885 MB)
@  2016s  (total 11 workers using 8915 MB)
@  2027s  (total 11 workers using 8952 MB)
@  2038s  (total 11 workers using 8997 MB)
@  2049s  (total 11 workers using 9033 MB)
@  2061s  (total 11 workers using 9077 MB)
@  2071s  (total 11 workers using 9108 MB)
@  2083s  (total 11 workers using 9134 MB)
@  2094s  (total 11 workers using 9171 MB)
@  2105s  (total 11 workers using 9198 MB)
@  2116s  (total 11 workers using 9218 MB)
@  2127s  (total 11 workers using 9237 MB)
@  2138s  (total 11 workers using 9379 MB)
@  2149s  (total 11 workers using 9405 MB)
@  2160s  (total 11 workers using 9427 MB)
@  2171s  (total 11 workers using 9477 MB)
@  2182s  (total 11 workers using 9532 MB)
@  2193s  (total 11 workers using 9586 MB)
@  2204s  (total 11 workers using 9705 MB)
@  2215s  (total 11 workers using 9759 MB)
@  2226s  (total 11 workers using 9805 MB)
@  2237s  (total 11 workers using 9853 MB)
@  2248s  (total 11 workers using 9872 MB)
@  2259s  (total 11 workers using 9871 MB)
@  2270s  (total 11 workers using 9903 MB)
@  2282s  (total 11 workers using 9996 MB)
@  2292s  (total 11 workers using 10020 MB)
@  2304s  (total 11 workers using 10052 MB)
@  2315s  (total 11 workers using 10078 MB)
@  2326s  (total 11 workers using 10118 MB)
@  2337s  (total 11 workers using 10156 MB)
@  2348s  (total 11 workers using 10299 MB)
@  2359s  (total 11 workers using 10355 MB)
@  2370s  (total 11 workers using 10108 MB)
@  2381s  (total 11 workers using 10172 MB)
@  2392s  (total 11 workers using 10277 MB)
@  2403s  (total 11 workers using 10307 MB)
@  2414s  (total 11 workers using 10357 MB)
@  2425s  (total 11 workers using 10417 MB)
@  2436s  (total 11 workers using 10423 MB)
@  2447s  (total 11 workers using 10462 MB)
@  2458s  (total 11 workers using 10496 MB)
@  2469s  (total 11 workers using 10526 MB)
@  2480s  (total 11 workers using 10492 MB)
@  2491s  (total 11 workers using 10533 MB)
@  2502s  (total 11 workers using 10578 MB)
@  2513s  (total 11 workers using 10603 MB)
@  2525s  (total 11 workers using 10648 MB)
@  2535s  (total 11 workers using 10695 MB)
@  2547s  (total 11 workers using 10715 MB)
@  2558s  (total 11 workers using 10746 MB)
@  2569s  (total 11 workers using 10766 MB)
@  2580s  (total 11 workers using 10856 MB)
@  2591s  (total 11 workers using 10844 MB)
@  2602s  (total 11 workers using 10874 MB)
@  2613s  (total 11 workers using 10960 MB)
@  2624s  (total 11 workers using 10891 MB)
@  2635s  (total 11 workers using 10911 MB)
@  2646s  (total 11 workers using 10932 MB)
@  2657s  (total 11 workers using 10990 MB)
@  2668s  (total 11 workers using 11048 MB)
@  2680s  (total 11 workers using 11083 MB)
@  2690s  (total 11 workers using 11126 MB)
@  2702s  (total 11 workers using 11162 MB)
@  2713s  (total 11 workers using 11202 MB)
@  2724s  (total 11 workers using 11232 MB)
@  2735s  (total 11 workers using 11284 MB)
@  2746s  (total 11 workers using 11271 MB)
@  2757s  (total 11 workers using 11348 MB)
@  2768s  (total 11 workers using 11369 MB)
@  2779s  (total 11 workers using 11387 MB)
@  2790s  (total 11 workers using 11402 MB)
@  2801s  (total 11 workers using 11428 MB)
@  2812s  (total 11 workers using 11494 MB)
@  2823s  (total 11 workers using 11535 MB)
@  2835s  (total 11 workers using 11575 MB)
@  2846s  (total 11 workers using 11611 MB)
@  2857s  (total 11 workers using 11622 MB)
@  2868s  (total 11 workers using 11639 MB)
@  2879s  (total 11 workers using 11659 MB)
@  2890s  (total 11 workers using 11687 MB)
@  2901s  (total 11 workers using 11782 MB)
@  2912s  (total 11 workers using 11722 MB)
@  2923s  (total 11 workers using 11736 MB)
@  2934s  (total 11 workers using 11776 MB)
@  2945s  (total 11 workers using 11800 MB)
@  2956s  (total 11 workers using 11808 MB)
@  2968s  (total 11 workers using 11855 MB)
@  2979s  (total 11 workers using 11879 MB)
@  2990s  (total 11 workers using 11926 MB)
@  3001s  (total 11 workers using 11942 MB)
@  3012s  (total 11 workers using 11999 MB)
@  3023s  (total 11 workers using 11932 MB)
@  3034s  (total 11 workers using 11963 MB)
@  3045s  (total 11 workers using 12080 MB)
@  3056s  (total 11 workers using 12116 MB)
@  3067s  (total 11 workers using 12141 MB)
@  3078s  (total 11 workers using 12205 MB)
@  3089s  (total 11 workers using 12173 MB)
@  3100s  (total 11 workers using 12213 MB)
@  3111s  (total 11 workers using 12232 MB)
@  3123s  (total 11 workers using 12250 MB)
@  3134s  (total 11 workers using 12270 MB)
@  3145s  (total 11 workers using 12292 MB)
@  3156s  (total 11 workers using 12324 MB)
@  3167s  (total 11 workers using 12358 MB)
@  3178s  (total 11 workers using 12466 MB)
@  3189s  (total 11 workers using 12447 MB)
@  3200s  (total 11 workers using 12578 MB)
@  3211s  (total 11 workers using 12510 MB)
@  3222s  (total 11 workers using 12578 MB)
@  3233s  (total 11 workers using 12607 MB)
@  3244s  (total 11 workers using 12630 MB)
@  3256s  (total 11 workers using 12702 MB)
@  3267s  (total 11 workers using 12648 MB)
@  3278s  (total 11 workers using 12681 MB)
@  3289s  (total 11 workers using 12704 MB)
@  3300s  (total 11 workers using 12730 MB)
@  3311s  (total 11 workers using 12781 MB)
@  3322s  (total 11 workers using 12828 MB)
@  3333s  (total 11 workers using 12885 MB)
@  3344s  (total 11 workers using 12918 MB)
@  3355s  (total 11 workers using 12936 MB)
@  3366s  (total 11 workers using 12970 MB)
@  3377s  (total 11 workers using 12986 MB)
@  3389s  (total 11 workers using 13012 MB)
@  3400s  (total 11 workers using 13035 MB)
@  3411s  (total 11 workers using 13064 MB)
@  3422s  (total 11 workers using 13083 MB)
@  3433s  (total 11 workers using 13146 MB)
@  3444s  (total 11 workers using 13170 MB)
@  3455s  (total 11 workers using 13237 MB)
@  3466s  (total 11 workers using 13318 MB)
@  3477s  (total 11 workers using 13341 MB)
@  3488s  (total 11 workers using 13372 MB)
@  3499s  (total 11 workers using 13397 MB)
@  3510s  (total 11 workers using 13423 MB)
@  3521s  (total 11 workers using 13441 MB)
@  3532s  (total 11 workers using 13459 MB)
@  3544s  (total 11 workers using 13477 MB)
@  3554s  (worker 6 finished with result unknown) python3 avr.py -a sa --interpol 1 -f 1
@  3554s  (worker 10 finished with result unknown) python3 avr.py --bmc
@  3554s  (worker 5 finished with result unknown) python3 avr.py -b bin_bt_cadical -g 3 -l 0 -a sa32
@  3554s  (worker 0 finished with result unknown) python3 avr.py -a sa
@  3554s  (worker 4 finished with result unknown) python3 avr.py -b bin_y2 --bmc
@  3554s  (worker 8 finished with result unknown) python3 avr.py -l 5 -g 3 -a sa8 --interpol 1 -f 1
@  3555s  (total 5 workers using 4855 MB)
@  3555s  (worker 2 finished with result unknown) python3 avr.py
@  3555s  (worker 3 finished with result unknown) python3 avr.py -b bin_y2 -s
@  3555s  (worker 7 finished with result unknown) python3 avr.py -s -l 0
@  3555s  (worker 1 finished with result unknown) python3 avr.py -b bin_bt_cadical -s --bmc
@  3555s  (worker 9 finished with result unknown) python3 avr.py -b bin_y2 -s -a sa4 --interpol 1 -f 1
@  3555s  (copied results from worker 0 in /tmp//pr_test)
@  3555s  [0;30;47m(proof race finished with answer unknown in 3555.47 seconds)[m
unknown
c done
